time	pressure	rate
0.2	351.564	2344.30
0.201	349.488	2344.30
0.202	347.886	2344.30
0.203	346.726	2344.30
0.204	345.796	2344.30
0.205	345.027	2344.30
0.206	344.364	2344.30
0.207	343.847	2344.30
0.208	343.445	2344.30
0.209	343.011	2344.30
0.210098	342.679	2344.30
0.21133	342.406	2344.30
0.212713	342.084	2344.30
0.214264	341.773	2344.30
0.216005	341.496	2344.30
0.217957	341.259	2344.30
0.220148	341.023	2344.30
0.222607	340.787	2344.30
0.225365	340.520	2344.30
0.22846	340.371	2344.30
0.231933	340.146	2344.30
0.23583	339.985	2344.30
0.240202	339.837	2344.30
0.245107	339.616	2344.30
0.250611	339.514	2344.30
0.256786	339.332	2344.30
0.263715	339.183	2344.30
0.27149	339.021	2344.30
0.280213	338.826	2344.30
0.29	338.731	2344.30
0.3	338.603	2344.30
0.31	338.429	2344.30
0.32	338.325	2344.30
0.33	338.280	2344.30
0.34	338.146	2344.30
0.35	338.116	2344.30
0.36	338.029	2344.30
0.37	337.943	2344.30
0.38	337.896	2344.30
0.39	337.829	2344.30
0.4	337.733	2344.30
0.41	337.644	2344.30
0.42	337.618	2344.30
0.43	337.565	2344.30
0.44	337.506	2344.30
0.45	337.426	2344.30
0.46	337.436	2344.30
0.47	337.354	2344.30
0.48	337.327	2344.30
0.49	337.307	2344.30
0.5	337.230	2344.30
0.51	337.183	2344.30
0.52	337.194	2344.30
0.53	337.118	2344.30
0.54	337.116	2344.30
0.55	337.067	2344.30
0.56	337.074	2344.30
0.57	337.026	2344.30
0.58	336.985	2344.30
0.59	336.905	2344.30
0.6	336.933	2344.30
0.61	336.911	2344.30
0.62	336.872	2344.30
0.63	336.839	2344.30
0.64	336.788	2344.30
0.65	336.753	2344.30
0.66	336.751	2344.30
0.67	336.721	2344.30
0.68	336.708	2344.30
0.69	336.666	2344.30
0.7	336.682	2344.30
0.71	336.614	2344.30
0.72	336.608	2344.30
0.73	336.602	2344.30
0.74	336.591	2344.30
0.75	336.519	2344.30
0.76	336.516	2344.30
0.77	336.501	2344.30
0.78	336.477	2344.30
0.79	336.459	2344.30
0.8	336.401	2344.30
0.81	336.427	2344.30
0.82	336.400	2344.30
0.83	336.403	2344.30
0.84	336.345	2344.30
0.85	336.363	2344.30
0.86	336.310	2344.30
0.87	336.343	2344.30
0.88	336.309	2344.30
0.89	336.243	2344.30
0.9	336.288	2344.30
0.91	336.263	2344.30
0.92	336.247	2344.30
0.93	336.195	2344.30
0.94	336.218	2344.30
0.95	336.219	2344.30
0.96	336.185	2344.30
0.97	336.152	2344.30
0.98	336.167	2344.30
0.99	336.122	2344.30
1	336.096	2344.30
1.01000	336.084	2344.30
1.02000	336.102	2344.30
1.03000	336.073	2344.30
1.04000	336.083	2344.30
1.05000	336.074	2344.30
1.06000	335.991	2344.30
1.07000	336.048	2344.30
1.08000	336.002	2344.30
1.09000	335.983	2344.30
1.10000	336.009	2344.30
1.11000	335.942	2344.30
1.12000	335.954	2344.30
1.13000	335.928	2344.30
1.14000	335.928	2344.30
1.15000	335.881	2344.30
1.16000	335.858	2344.30
1.17000	335.871	2344.30
1.18000	335.869	2344.30
1.19000	335.825	2344.30
1.20000	335.835	2344.30
1.21000	335.865	2344.30
1.22000	335.823	2344.30
1.23000	335.804	2344.30
1.24000	335.772	2344.30
1.25000	335.816	2344.30
1.26000	335.804	2344.30
1.27000	335.804	2344.30
1.28000	335.730	2344.30
1.29000	335.751	2344.30
1.30000	335.707	2344.30
1.31000	335.693	2344.30
1.32000	335.710	2344.30
1.33000	335.681	2344.30
1.34000	335.719	2344.30
1.35000	335.652	2344.30
1.36000	335.656	2344.30
1.37000	335.661	2344.30
1.38000	335.680	2344.30
1.39000	335.631	2344.30
1.40000	335.632	2344.30
1.41000	335.603	2344.30
1.42000	335.635	2344.30
1.43000	335.614	2344.30
1.44000	335.625	2344.30
1.45000	335.618	2344.30
1.46000	335.561	2344.30
1.47000	335.589	2344.30
1.48000	335.552	2344.30
1.49000	335.556	2344.30
