time	pressure	rate
0.204	347.391	1354.04
0.205	346.667	1354.04
0.206	346.042	1354.04
0.207	345.426	1354.04
0.208	344.966	1354.04
0.209	344.507	1354.04
0.210098	344.056	1354.04
0.21133	343.597	1354.04
0.212713	343.153	1354.04
0.214264	342.664	1354.04
0.216005	342.274	1354.04
0.217957	341.843	1354.04
0.220148	341.479	1354.04
0.222607	341.049	1354.04
0.225365	340.728	1354.04
0.22846	340.359	1354.04
0.231933	340.066	1354.04
0.23583	339.744	1354.04
0.240202	339.529	1354.04
0.245107	339.242	1354.04
0.250611	338.957	1354.04
0.256786	338.755	1354.04
0.263715	338.556	1354.04
0.27149	338.372	1354.04
0.280213	338.107	1354.04
0.29	337.964	1354.04
0.3	337.795	1354.04
0.31	337.624	1354.04
0.32	337.452	1354.04
0.33	337.380	1354.04
0.34	337.252	1354.04
0.35	337.179	1354.04
0.36	337.042	1354.04
0.37	336.999	1354.04
0.38	336.855	1354.04
0.39	336.817	1354.04
0.4	336.718	1354.04
0.41	336.659	1354.04
0.42	336.590	1354.04
0.43	336.552	1354.04
0.44	336.464	1354.04
0.45	336.404	1354.04
0.46	336.319	1354.04
0.47	336.263	1354.04
0.48	336.257	1354.04
0.49	336.167	1354.04
0.5	336.127	1354.04
0.51	336.126	1354.04
0.52	336.079	1354.04
0.53	336.060	1354.04
0.54	335.985	1354.04
0.55	335.962	1354.04
0.56	335.936	1354.04
0.57	335.876	1354.04
0.58	335.812	1354.04
0.59	335.824	1354.04
0.6	335.789	1354.04
0.61	335.733	1354.04
0.62	335.697	1354.04
0.63	335.691	1354.04
0.64	335.590	1354.04
0.65	335.611	1354.04
0.66	335.535	1354.04
0.67	335.559	1354.04
0.68	335.495	1354.04
0.69	335.479	1354.04
0.7	335.456	1354.04
0.71	335.409	1354.04
0.72	335.411	1354.04
0.73	335.356	1354.04
0.74	335.330	1354.04
0.75	335.299	1354.04
0.76	335.294	1354.04
0.77	335.247	1354.04
0.78	335.290	1354.04
0.79	335.209	1354.04
0.8	335.211	1354.04
0.81	335.178	1354.04
0.82	335.152	1354.04
0.83	335.140	1354.04
0.84	335.144	1354.04
0.85	335.113	1354.04
0.86	335.083	1354.04
0.87	335.095	1354.04
0.88	335.055	1354.04
0.89	335.051	1354.04
0.9	334.988	1354.04
0.91	334.949	1354.04
0.92	334.958	1354.04
0.93	334.933	1354.04
0.94	334.891	1354.04
0.95	334.897	1354.04
0.96	334.878	1354.04
0.97	334.891	1354.04
0.98	334.821	1354.04
0.99	334.867	1354.04
1	334.850	1354.04
1.01000	334.838	1354.04
1.02000	334.793	1354.04
1.03000	334.796	1354.04
1.04000	334.740	1354.04
1.05000	334.720	1354.04
1.06000	334.685	1354.04
1.07000	334.731	1354.04
1.08000	334.693	1354.04
1.09000	334.672	1354.04
1.10000	334.671	1354.04
1.11000	334.615	1354.04
1.12000	334.629	1354.04
1.13000	334.647	1354.04
1.14000	334.575	1354.04
1.15000	334.600	1354.04
1.16000	334.552	1354.04
1.17000	334.591	1354.04
1.18000	334.565	1354.04
1.19000	334.527	1354.04
1.20000	334.495	1354.04
1.21000	334.495	1354.04
1.22000	334.517	1354.04
1.23000	334.445	1354.04
1.24000	334.495	1354.04
1.25000	334.437	1354.04
1.26000	334.466	1354.04
1.27000	334.446	1354.04
1.28000	334.392	1354.04
1.29000	334.434	1354.04
1.30000	334.420	1354.04
1.31000	334.364	1354.04
1.32000	334.410	1354.04
1.33000	334.359	1354.04
1.34000	334.377	1354.04
1.35000	334.359	1354.04
1.36000	334.297	1354.04
1.37000	334.316	1354.04
1.38000	334.328	1354.04
1.39000	334.298	1354.04
1.40000	334.316	1354.04
1.41000	334.288	1354.04
1.42000	334.287	1354.04
1.43000	334.215	1354.04
1.44000	334.264	1354.04
1.45000	334.246	1354.04
1.46000	334.210	1354.04
1.47000	334.185	1354.04
1.48000	334.201	1354.04
1.49000	334.176	1354.04
1.50000	334.167	1354.04
1.51000	334.193	1354.04
1.52000	334.193	1354.04
1.53000	334.174	1354.04
1.54000	334.153	1354.04
1.55000	334.099	1354.04
1.56000	334.112	1354.04
1.57000	334.135	1354.04
1.58000	334.130	1354.04
1.59000	334.056	1354.04
1.60000	334.078	1354.04
1.61000	334.090	1354.04
1.62000	334.093	1354.04
1.63000	334.020	1354.04
1.64000	334.013	1354.04
1.65000	334.053	1354.04
1.66000	334.041	1354.04
1.67000	333.998	1354.04
1.68000	334.032	1354.04
1.69000	333.956	1354.04
1.70000	333.948	1354.04
1.71000	333.994	1354.04
1.72000	333.971	1354.04
1.73000	333.991	1354.04
1.74000	333.942	1354.04
1.75000	333.938	1354.04
1.76000	333.926	1354.04
1.77000	333.918	1354.04
1.78000	333.924	1354.04
1.79000	333.924	1354.04
1.80000	333.883	1354.04
1.81000	333.904	1354.04
1.82000	333.921	1354.04
1.83000	333.906	1354.04
1.84000	333.907	1354.04
1.85000	333.857	1354.04
1.86000	333.875	1354.04
1.87000	333.829	1354.04
1.88000	333.838	1354.04
1.89000	333.815	1354.04
1.90000	333.832	1354.04
1.91000	333.836	1354.04
