time	pressure	rate
0.2	351.520	2277.86
0.201	349.352	2277.86
0.202	347.489	2277.86
0.203	345.891	2277.86
0.204	344.508	2277.86
0.205	343.266	2277.86
0.206	342.139	2277.86
0.207	341.163	2277.86
0.208	340.346	2277.86
0.209	339.505	2277.86
0.210098	338.770	2277.86
0.21133	337.979	2277.86
0.212713	337.252	2277.86
0.214264	336.519	2277.86
0.216005	335.758	2277.86
0.217957	335.017	2277.86
0.220148	334.415	2277.86
0.222607	333.750	2277.86
0.225365	333.110	2277.86
0.22846	332.562	2277.86
0.231933	332.000	2277.86
0.23583	331.550	2277.86
0.240202	331.038	2277.86
0.245107	330.642	2277.86
0.250611	330.182	2277.86
0.256786	329.781	2277.86
0.263715	329.412	2277.86
0.27149	329.119	2277.86
0.280213	328.756	2277.86
0.29	328.445	2277.86
0.3	328.120	2277.86
0.31	327.870	2277.86
0.32	327.625	2277.86
0.33	327.441	2277.86
0.34	327.286	2277.86
0.35	327.064	2277.86
0.36	326.937	2277.86
0.37	326.724	2277.86
0.38	326.588	2277.86
0.39	326.509	2277.86
0.4	326.388	2277.86
0.41	326.250	2277.86
0.42	326.092	2277.86
0.43	325.985	2277.86
0.44	325.879	2277.86
0.45	325.859	2277.86
0.46	325.748	2277.86
0.47	325.670	2277.86
0.48	325.545	2277.86
0.49	325.504	2277.86
0.5	325.378	2277.86
0.51	325.332	2277.86
0.52	325.269	2277.86
0.53	325.178	2277.86
0.54	325.085	2277.86
0.55	325.045	2277.86
0.56	324.990	2277.86
0.57	324.878	2277.86
0.58	324.798	2277.86
0.59	324.745	2277.86
0.6	324.749	2277.86
0.61	324.670	2277.86
0.62	324.619	2277.86
0.63	324.570	2277.86
0.64	324.469	2277.86
0.65	324.426	2277.86
0.66	324.424	2277.86
0.67	324.364	2277.86
0.68	324.250	2277.86
0.69	324.276	2277.86
0.7	324.203	2277.86
0.71	324.129	2277.86
0.72	324.063	2277.86
0.73	324.039	2277.86
0.74	323.994	2277.86
0.75	323.963	2277.86
0.76	323.944	2277.86
0.77	323.906	2277.86
0.78	323.866	2277.86
0.79	323.829	2277.86
0.8	323.809	2277.86
0.81	323.743	2277.86
0.82	323.677	2277.86
0.83	323.699	2277.86
0.84	323.601	2277.86
0.85	323.610	2277.86
0.86	323.549	2277.86
0.87	323.534	2277.86
0.88	323.513	2277.86
0.89	323.428	2277.86
0.9	323.418	2277.86
0.91	323.402	2277.86
0.92	323.334	2277.86
0.93	323.338	2277.86
0.94	323.255	2277.86
0.95	323.271	2277.86
0.96	323.216	2277.86
0.97	323.186	2277.86
0.98	323.178	2277.86
0.99	323.119	2277.86
1	323.146	2277.86
1.01000	323.059	2277.86
1.02000	323.061	2277.86
1.03000	323.033	2277.86
1.04000	323.032	2277.86
1.05000	322.989	2277.86
1.06000	322.947	2277.86
1.07000	322.911	2277.86
1.08000	322.903	2277.86
1.09000	322.871	2277.86
1.10000	322.813	2277.86
1.11000	322.804	2277.86
1.12000	322.763	2277.86
1.13000	322.808	2277.86
1.14000	322.769	2277.86
1.15000	322.700	2277.86
1.16000	322.702	2277.86
1.17000	322.661	2277.86
1.18000	322.633	2277.86
1.19000	322.633	2277.86
1.20000	322.636	2277.86
1.21000	322.552	2277.86
1.22000	322.529	2277.86
1.23000	322.565	2277.86
1.24000	322.541	2277.86
1.25000	322.469	2277.86
1.26000	322.480	2277.86
1.27000	322.433	2277.86
1.28000	322.456	2277.86
1.29000	322.452	2277.86
1.30000	322.407	2277.86
1.31000	322.372	2277.86
1.32000	322.317	2277.86
1.33000	322.338	2277.86
