time	pressure	rate
0.2	351.571	559.975
0.201	350.970	559.975
0.202	350.567	559.975
0.203	350.136	559.975
0.204	349.777	559.975
0.205	349.471	559.975
0.206	349.240	559.975
0.207	348.997	559.975
0.208	348.722	559.975
0.209	348.542	559.975
0.210098	348.387	559.975
0.21133	348.185	559.975
0.212713	347.946	559.975
0.214264	347.765	559.975
0.216005	347.636	559.975
0.217957	347.391	559.975
0.220148	347.281	559.975
0.222607	347.100	559.975
0.225365	346.960	559.975
0.22846	346.820	559.975
0.231933	346.658	559.975
0.23583	346.559	559.975
0.240202	346.414	559.975
0.245107	346.303	559.975
0.250611	346.185	559.975
0.256786	346.117	559.975
0.263715	346.015	559.975
0.27149	345.979	559.975
0.280213	345.901	559.975
0.29	345.789	559.975
0.3	345.718	559.975
0.31	345.619	559.975
0.32	345.600	559.975
0.33	345.503	559.975
0.34	345.492	559.975
0.35	345.429	559.975
0.36	345.426	559.975
0.37	345.352	559.975
0.38	345.365	559.975
0.39	345.299	559.975
0.4	345.277	559.975
0.41	345.264	559.975
0.42	345.193	559.975
0.43	345.213	559.975
0.44	345.124	559.975
0.45	345.115	559.975
0.46	345.116	559.975
0.47	345.094	559.975
0.48	345.062	559.975
0.49	345.069	559.975
0.5	345.026	559.975
0.51	345.014	559.975
0.52	345.018	559.975
0.53	344.946	559.975
0.54	344.962	559.975
0.55	344.954	559.975
0.56	344.878	559.975
0.57	344.935	559.975
0.58	344.870	559.975
0.59	344.906	559.975
0.6	344.871	559.975
0.61	344.871	559.975
0.62	344.807	559.975
0.63	344.815	559.975
0.64	344.822	559.975
0.65	344.798	559.975
0.66	344.747	559.975
0.67	344.776	559.975
0.68	344.728	559.975
0.69	344.766	559.975
0.7	344.763	559.975
0.71	344.740	559.975
0.72	344.742	559.975
0.73	344.729	559.975
0.74	344.648	559.975
0.75	344.690	559.975
0.76	344.683	559.975
0.77	344.671	559.975
0.78	344.645	559.975
0.79	344.635	559.975
0.8	344.594	559.975
0.81	344.615	559.975
0.82	344.577	559.975
0.83	344.579	559.975
0.84	344.555	559.975
0.85	344.561	559.975
0.86	344.569	559.975
0.87	344.531	559.975
0.88	344.545	559.975
0.89	344.579	559.975
0.9	344.496	559.975
0.91	344.560	559.975
0.92	344.488	559.975
0.93	344.529	559.975
0.94	344.474	559.975
0.95	344.474	559.975
0.96	344.475	559.975
0.97	344.445	559.975
0.98	344.474	559.975
0.99	344.484	559.975
1	344.488	559.975
1.01000	344.415	559.975
1.02000	344.424	559.975
1.03000	344.440	559.975
1.04000	344.427	559.975
1.05000	344.419	559.975
1.06000	344.409	559.975
1.07000	344.443	559.975
1.08000	344.408	559.975
1.09000	344.416	559.975
1.10000	344.392	559.975
1.11000	344.404	559.975
1.12000	344.368	559.975
1.13000	344.336	559.975
1.14000	344.364	559.975
1.15000	344.332	559.975
1.16000	344.381	559.975
1.17000	344.336	559.975
1.18000	344.339	559.975
1.19000	344.349	559.975
1.20000	344.332	559.975
1.21000	344.359	559.975
1.22000	344.305	559.975
1.23000	344.302	559.975
1.24000	344.346	559.975
1.25000	344.290	559.975
1.26000	344.262	559.975
1.27000	344.284	559.975
1.28000	344.293	559.975
1.29000	344.249	559.975
1.30000	344.298	559.975
1.31000	344.259	559.975
1.32000	344.264	559.975
1.33000	344.301	559.975
1.34000	344.290	559.975
1.35000	344.266	559.975
1.36000	344.242	559.975
1.37000	344.245	559.975
1.38000	344.270	559.975
1.39000	344.258	559.975
1.40000	344.225	559.975
1.41000	344.218	559.975
1.42000	344.194	559.975
1.43000	344.201	559.975
1.44000	344.238	559.975
1.45000	344.189	559.975
1.46000	344.220	559.975
1.47000	344.184	559.975
1.48000	344.198	559.975
1.49000	344.218	559.975
1.50000	344.224	559.975
1.51000	344.211	559.975
1.52000	344.189	559.975
1.53000	344.190	559.975
1.54000	344.164	559.975
1.55000	344.160	559.975
1.56000	344.161	559.975
1.57000	344.183	559.975
1.58000	344.156	559.975
1.59000	344.124	559.975
1.60000	344.161	559.975
1.61000	344.170	559.975
1.62000	344.128	559.975
1.63000	344.095	559.975
1.64000	344.114	559.975
1.65000	344.139	559.975
1.66000	344.150	559.975
1.67000	344.109	559.975
1.68000	344.101	559.975
1.69000	344.142	559.975
1.70000	344.109	559.975
1.71000	344.111	559.975
1.72000	344.067	559.975
1.73000	344.056	559.975
1.74000	344.060	559.975
1.75000	344.106	559.975
1.76000	344.083	559.975
1.77000	344.102	559.975
1.78000	344.091	559.975
1.79000	344.103	559.975
1.80000	344.071	559.975
1.81000	344.065	559.975
1.82000	344.069	559.975
1.83000	344.077	559.975
1.84000	344.053	559.975
1.85000	344.088	559.975
1.86000	344.023	559.975
1.87000	344.037	559.975
1.88000	344.068	559.975
1.89000	344.042	559.975
1.90000	344.017	559.975
1.91000	344.019	559.975
1.92000	344.016	559.975
1.93000	344.007	559.975
1.94000	344.016	559.975
1.95000	344.005	559.975
1.96000	344.021	559.975
1.97000	343.999	559.975
1.98000	343.980	559.975
1.99000	343.993	559.975
2.00000	344.038	559.975
2.01000	344.033	559.975
2.02000	344.024	559.975
2.03000	343.981	559.975
2.04000	344.025	559.975
2.05000	344.012	559.975
2.06000	344.017	559.975
2.07000	344.000	559.975
2.08000	343.974	559.975
2.09000	343.982	559.975
2.10000	343.976	559.975
2.11000	343.979	559.975
2.12000	343.979	559.975
2.13000	343.994	559.975
2.14000	343.971	559.975
2.15000	343.948	559.975
2.16000	343.972	559.975
2.17000	343.963	559.975
2.18000	343.962	559.975
2.19000	343.908	559.975
2.20000	343.950	559.975
2.21000	343.955	559.975
2.22000	343.951	559.975
2.23000	343.946	559.975
2.24000	343.900	559.975
2.25000	343.934	559.975
2.26000	343.903	559.975
2.27000	343.912	559.975
2.28000	343.952	559.975
2.29000	343.883	559.975
2.30000	343.913	559.975
2.31000	343.894	559.975
2.32000	343.949	559.975
2.33000	343.896	559.975
2.34000	343.912	559.975
2.35000	343.920	559.975
2.36000	343.930	559.975
2.37000	343.862	559.975
2.38000	343.930	559.975
2.39000	343.878	559.975
2.40000	343.921	559.975
2.41000	343.866	559.975
2.42000	343.913	559.975
2.43000	343.850	559.975
2.44000	343.874	559.975
2.45000	343.890	559.975
2.46000	343.864	559.975
2.47000	343.855	559.975
2.48000	343.849	559.975
2.49000	343.854	559.975
2.50000	343.857	559.975
2.51000	343.900	559.975
2.52000	343.825	559.975
2.53000	343.861	559.975
2.54000	343.821	559.975
2.55000	343.833	559.975
2.56000	343.872	559.975
2.57000	343.851	559.975
2.58000	343.842	559.975
2.59000	343.808	559.975
2.60000	343.850	559.975
2.61000	343.880	559.975
2.62000	343.843	559.975
2.63000	343.815	559.975
2.64000	343.828	559.975
2.65000	343.831	559.975
2.66000	343.867	559.975
2.67000	343.806	559.975
2.68000	343.829	559.975
2.69000	343.785	559.975
2.70000	343.818	559.975
2.71000	343.836	559.975
2.72000	343.790	559.975
2.73000	343.838	559.975
2.74000	343.812	559.975
2.75000	343.820	559.975
2.76000	343.769	559.975
2.77000	343.806	559.975
