time	pressure	rate
0.2	351.558	501.819
0.201	351.064	501.819
0.202	350.722	501.819
0.203	350.514	501.819
0.204	350.317	501.819
0.205	350.110	501.819
0.206	350.026	501.819
0.207	349.852	501.819
0.208	349.768	501.819
0.209	349.687	501.819
0.210098	349.644	501.819
0.21133	349.577	501.819
0.212713	349.474	501.819
0.214264	349.436	501.819
0.216005	349.331	501.819
0.217957	349.292	501.819
0.220148	349.277	501.819
0.222607	349.243	501.819
0.225365	349.182	501.819
0.22846	349.123	501.819
0.231933	349.119	501.819
0.23583	349.072	501.819
0.240202	348.968	501.819
0.245107	348.947	501.819
0.250611	348.959	501.819
0.256786	348.863	501.819
0.263715	348.880	501.819
0.27149	348.844	501.819
0.280213	348.781	501.819
0.29	348.739	501.819
0.3	348.777	501.819
0.31	348.734	501.819
0.32	348.662	501.819
0.33	348.656	501.819
0.34	348.655	501.819
0.35	348.608	501.819
0.36	348.604	501.819
0.37	348.622	501.819
0.38	348.617	501.819
0.39	348.584	501.819
0.4	348.550	501.819
0.41	348.522	501.819
0.42	348.555	501.819
0.43	348.516	501.819
0.44	348.476	501.819
0.45	348.534	501.819
0.46	348.529	501.819
0.47	348.477	501.819
0.48	348.499	501.819
0.49	348.460	501.819
0.5	348.492	501.819
0.51	348.448	501.819
0.52	348.426	501.819
0.53	348.458	501.819
0.54	348.453	501.819
0.55	348.418	501.819
0.56	348.438	501.819
0.57	348.420	501.819
0.58	348.383	501.819
0.59	348.402	501.819
0.6	348.377	501.819
0.61	348.385	501.819
0.62	348.328	501.819
0.63	348.385	501.819
0.64	348.371	501.819
0.65	348.326	501.819
0.66	348.356	501.819
0.67	348.308	501.819
0.68	348.345	501.819
0.69	348.361	501.819
0.7	348.301	501.819
0.71	348.295	501.819
0.72	348.285	501.819
0.73	348.293	501.819
0.74	348.318	501.819
0.75	348.275	501.819
0.76	348.299	501.819
0.77	348.305	501.819
0.78	348.275	501.819
0.79	348.296	501.819
0.8	348.287	501.819
0.81	348.298	501.819
0.82	348.282	501.819
0.83	348.304	501.819
0.84	348.244	501.819
0.85	348.248	501.819
0.86	348.226	501.819
0.87	348.282	501.819
0.88	348.226	501.819
0.89	348.265	501.819
0.9	348.280	501.819
0.91	348.236	501.819
0.92	348.268	501.819
0.93	348.264	501.819
0.94	348.264	501.819
0.95	348.209	501.819
0.96	348.250	501.819
0.97	348.237	501.819
0.98	348.235	501.819
0.99	348.202	501.819
1	348.243	501.819
1.01000	348.165	501.819
1.02000	348.167	501.819
1.03000	348.191	501.819
1.04000	348.208	501.819
1.05000	348.158	501.819
1.06000	348.216	501.819
1.07000	348.199	501.819
1.08000	348.216	501.819
1.09000	348.174	501.819
1.10000	348.179	501.819
1.11000	348.201	501.819
1.12000	348.148	501.819
1.13000	348.153	501.819
1.14000	348.169	501.819
1.15000	348.157	501.819
1.16000	348.127	501.819
1.17000	348.159	501.819
1.18000	348.172	501.819
1.19000	348.178	501.819
1.20000	348.141	501.819
1.21000	348.163	501.819
1.22000	348.108	501.819
1.23000	348.171	501.819
1.24000	348.140	501.819
1.25000	348.168	501.819
1.26000	348.136	501.819
1.27000	348.154	501.819
1.28000	348.157	501.819
1.29000	348.169	501.819
1.30000	348.111	501.819
1.31000	348.116	501.819
1.32000	348.146	501.819
1.33000	348.083	501.819
1.34000	348.085	501.819
1.35000	348.142	501.819
1.36000	348.147	501.819
1.37000	348.089	501.819
1.38000	348.131	501.819
1.39000	348.136	501.819
1.40000	348.110	501.819
1.41000	348.090	501.819
1.42000	348.089	501.819
1.43000	348.119	501.819
1.44000	348.104	501.819
1.45000	348.092	501.819
1.46000	348.089	501.819
1.47000	348.113	501.819
1.48000	348.072	501.819
1.49000	348.122	501.819
1.50000	348.114	501.819
1.51000	348.097	501.819
1.52000	348.085	501.819
1.53000	348.049	501.819
1.54000	348.106	501.819
1.55000	348.104	501.819
1.56000	348.038	501.819
1.57000	348.101	501.819
1.58000	348.079	501.819
1.59000	348.047	501.819
1.60000	348.045	501.819
1.61000	348.098	501.819
1.62000	348.059	501.819
1.63000	348.070	501.819
1.64000	348.080	501.819
1.65000	348.045	501.819
1.66000	348.036	501.819
1.67000	348.064	501.819
1.68000	348.045	501.819
1.69000	348.035	501.819
1.70000	348.070	501.819
1.71000	348.085	501.819
1.72000	348.087	501.819
1.73000	348.011	501.819
1.74000	348.006	501.819
1.75000	348.078	501.819
1.76000	348.026	501.819
1.77000	348.064	501.819
1.78000	348.000	501.819
1.79000	348.013	501.819
1.80000	348.042	501.819
1.81000	348.056	501.819
1.82000	348.016	501.819
1.83000	348.037	501.819
1.84000	348.034	501.819
1.85000	348.043	501.819
1.86000	348.044	501.819
1.87000	348.055	501.819
1.88000	348.040	501.819
1.89000	348.047	501.819
1.90000	348.037	501.819
1.91000	348.033	501.819
1.92000	348.017	501.819
1.93000	348.017	501.819
1.94000	348.000	501.819
1.95000	348.040	501.819
1.96000	348.017	501.819
1.97000	348.040	501.819
1.98000	348.045	501.819
1.99000	348.033	501.819
2.00000	347.989	501.819
2.01000	348.044	501.819
2.02000	347.965	501.819
2.03000	348.003	501.819
2.04000	348.032	501.819
2.05000	348.026	501.819
2.06000	347.975	501.819
2.07000	348.019	501.819
2.08000	348.005	501.819
2.09000	348.026	501.819
2.10000	348.026	501.819
2.11000	347.969	501.819
2.12000	348.019	501.819
2.13000	348.014	501.819
2.14000	347.961	501.819
2.15000	347.984	501.819
2.16000	347.945	501.819
2.17000	347.955	501.819
2.18000	348.013	501.819
2.19000	347.990	501.819
2.20000	348.000	501.819
2.21000	347.960	501.819
2.22000	347.992	501.819
2.23000	348.006	501.819
2.24000	347.995	501.819
2.25000	348.007	501.819
2.26000	347.934	501.819
2.27000	347.951	501.819
2.28000	347.948	501.819
2.29000	347.941	501.819
2.30000	347.932	501.819
2.31000	347.946	501.819
2.32000	347.964	501.819
2.33000	347.927	501.819
2.34000	347.984	501.819
2.35000	347.950	501.819
2.36000	347.931	501.819
2.37000	347.950	501.819
2.38000	347.995	501.819
2.39000	347.949	501.819
2.40000	347.949	501.819
2.41000	347.941	501.819
2.42000	347.962	501.819
2.43000	347.958	501.819
2.44000	347.919	501.819
2.45000	347.932	501.819
2.46000	347.988	501.819
2.47000	347.910	501.819
2.48000	347.909	501.819
2.49000	347.919	501.819
2.50000	347.939	501.819
2.51000	347.983	501.819
2.52000	347.951	501.819
2.53000	347.915	501.819
2.54000	347.961	501.819
2.55000	347.924	501.819
2.56000	347.951	501.819
2.57000	347.914	501.819
2.58000	347.935	501.819
2.59000	347.913	501.819
