time	pressure	rate
0.203	348.857	1075.78
0.204	348.125	1075.78
0.205	347.591	1075.78
0.206	347.020	1075.78
0.207	346.518	1075.78
0.208	346.100	1075.78
0.209	345.768	1075.78
0.210098	345.403	1075.78
0.21133	345.038	1075.78
0.212713	344.625	1075.78
0.214264	344.313	1075.78
0.216005	343.930	1075.78
0.217957	343.592	1075.78
0.220148	343.311	1075.78
0.222607	342.937	1075.78
0.225365	342.646	1075.78
0.22846	342.361	1075.78
0.231933	342.142	1075.78
0.23583	341.933	1075.78
0.240202	341.662	1075.78
0.245107	341.502	1075.78
0.250611	341.241	1075.78
0.256786	341.089	1075.78
0.263715	340.919	1075.78
0.27149	340.693	1075.78
0.280213	340.595	1075.78
0.29	340.383	1075.78
0.3	340.288	1075.78
0.31	340.143	1075.78
0.32	340.032	1075.78
0.33	339.896	1075.78
0.34	339.874	1075.78
0.35	339.763	1075.78
0.36	339.682	1075.78
0.37	339.643	1075.78
0.38	339.548	1075.78
0.39	339.473	1075.78
0.4	339.434	1075.78
0.41	339.357	1075.78
0.42	339.309	1075.78
0.43	339.260	1075.78
0.44	339.179	1075.78
0.45	339.131	1075.78
0.46	339.101	1075.78
0.47	339.040	1075.78
0.48	339.040	1075.78
0.49	338.967	1075.78
0.5	338.942	1075.78
0.51	338.896	1075.78
0.52	338.845	1075.78
0.53	338.846	1075.78
0.54	338.783	1075.78
0.55	338.800	1075.78
0.56	338.724	1075.78
0.57	338.732	1075.78
0.58	338.652	1075.78
0.59	338.624	1075.78
0.6	338.596	1075.78
0.61	338.555	1075.78
0.62	338.547	1075.78
0.63	338.505	1075.78
0.64	338.519	1075.78
0.65	338.497	1075.78
0.66	338.472	1075.78
0.67	338.468	1075.78
0.68	338.384	1075.78
0.69	338.414	1075.78
0.7	338.407	1075.78
0.71	338.327	1075.78
0.72	338.309	1075.78
0.73	338.334	1075.78
0.74	338.281	1075.78
0.75	338.287	1075.78
0.76	338.278	1075.78
0.77	338.209	1075.78
0.78	338.228	1075.78
0.79	338.149	1075.78
0.8	338.133	1075.78
0.81	338.145	1075.78
0.82	338.154	1075.78
0.83	338.103	1075.78
0.84	338.098	1075.78
0.85	338.104	1075.78
0.86	338.087	1075.78
0.87	338.042	1075.78
0.88	338.022	1075.78
0.89	338.034	1075.78
0.9	338.022	1075.78
0.91	337.999	1075.78
0.92	337.946	1075.78
0.93	337.926	1075.78
0.94	337.940	1075.78
0.95	337.906	1075.78
0.96	337.937	1075.78
0.97	337.860	1075.78
0.98	337.899	1075.78
0.99	337.832	1075.78
1	337.864	1075.78
1.01000	337.859	1075.78
1.02000	337.852	1075.78
1.03000	337.807	1075.78
1.04000	337.793	1075.78
1.05000	337.790	1075.78
1.06000	337.798	1075.78
1.07000	337.792	1075.78
1.08000	337.745	1075.78
1.09000	337.745	1075.78
1.10000	337.762	1075.78
1.11000	337.727	1075.78
1.12000	337.738	1075.78
1.13000	337.717	1075.78
1.14000	337.660	1075.78
1.15000	337.655	1075.78
1.16000	337.656	1075.78
1.17000	337.643	1075.78
1.18000	337.654	1075.78
1.19000	337.599	1075.78
1.20000	337.634	1075.78
1.21000	337.591	1075.78
1.22000	337.616	1075.78
1.23000	337.608	1075.78
1.24000	337.526	1075.78
1.25000	337.551	1075.78
1.26000	337.505	1075.78
1.27000	337.557	1075.78
1.28000	337.518	1075.78
1.29000	337.497	1075.78
1.30000	337.530	1075.78
1.31000	337.520	1075.78
1.32000	337.491	1075.78
1.33000	337.504	1075.78
1.34000	337.476	1075.78
1.35000	337.429	1075.78
1.36000	337.427	1075.78
1.37000	337.451	1075.78
1.38000	337.446	1075.78
1.39000	337.383	1075.78
1.40000	337.441	1075.78
1.41000	337.395	1075.78
1.42000	337.396	1075.78
1.43000	337.411	1075.78
1.44000	337.393	1075.78
1.45000	337.330	1075.78
1.46000	337.388	1075.78
1.47000	337.329	1075.78
1.48000	337.307	1075.78
1.49000	337.337	1075.78
1.50000	337.297	1075.78
1.51000	337.340	1075.78
1.52000	337.291	1075.78
1.53000	337.335	1075.78
1.54000	337.266	1075.78
1.55000	337.289	1075.78
1.56000	337.270	1075.78
1.57000	337.262	1075.78
1.58000	337.239	1075.78
1.59000	337.224	1075.78
1.60000	337.256	1075.78
1.61000	337.219	1075.78
1.62000	337.262	1075.78
1.63000	337.186	1075.78
1.64000	337.179	1075.78
1.65000	337.218	1075.78
1.66000	337.219	1075.78
1.67000	337.179	1075.78
1.68000	337.149	1075.78
1.69000	337.168	1075.78
1.70000	337.189	1075.78
1.71000	337.180	1075.78
1.72000	337.190	1075.78
1.73000	337.156	1075.78
1.74000	337.104	1075.78
1.75000	337.096	1075.78
1.76000	337.152	1075.78
1.77000	337.130	1075.78
1.78000	337.141	1075.78
1.79000	337.080	1075.78
1.80000	337.119	1075.78
1.81000	337.083	1075.78
1.82000	337.115	1075.78
1.83000	337.082	1075.78
1.84000	337.097	1075.78
1.85000	337.080	1075.78
1.86000	337.031	1075.78
1.87000	337.087	1075.78
1.88000	337.022	1075.78
1.89000	337.030	1075.78
1.90000	337.060	1075.78
1.91000	337.065	1075.78
1.92000	337.001	1075.78
1.93000	337.002	1075.78
1.94000	337.022	1075.78
1.95000	336.983	1075.78
1.96000	336.971	1075.78
1.97000	336.986	1075.78
1.98000	337.001	1075.78
1.99000	337.010	1075.78
2.00000	336.974	1075.78
2.01000	336.938	1075.78
2.02000	336.923	1075.78
2.03000	336.981	1075.78
2.04000	336.925	1075.78
2.05000	336.959	1075.78
2.06000	336.901	1075.78
2.07000	336.951	1075.78
2.08000	336.892	1075.78
