time	pressure	rate
0.2	351.505	3603.72
0.201	348.369	3603.72
0.202	345.975	3603.72
0.203	344.103	3603.72
0.204	342.670	3603.72
0.205	341.460	3603.72
0.206	340.549	3603.72
0.207	339.728	3603.72
0.208	339.076	3603.72
0.209	338.518	3603.72
0.210098	337.955	3603.72
0.21133	337.430	3603.72
0.212713	336.945	3603.72
0.214264	336.480	3603.72
0.216005	336.111	3603.72
0.217957	335.684	3603.72
0.220148	335.308	3603.72
0.222607	334.945	3603.72
0.225365	334.691	3603.72
0.22846	334.369	3603.72
0.231933	334.052	3603.72
0.23583	333.789	3603.72
0.240202	333.486	3603.72
0.245107	333.250	3603.72
0.250611	333.031	3603.72
0.256786	332.728	3603.72
0.263715	332.548	3603.72
0.27149	332.308	3603.72
0.280213	332.079	3603.72
0.29	331.810	3603.72
0.3	331.585	3603.72
0.31	331.457	3603.72
0.32	331.309	3603.72
0.33	331.107	3603.72
0.34	330.966	3603.72
0.35	330.859	3603.72
0.36	330.696	3603.72
0.37	330.595	3603.72
0.38	330.471	3603.72
0.39	330.443	3603.72
0.4	330.291	3603.72
0.41	330.252	3603.72
0.42	330.159	3603.72
0.43	330.042	3603.72
0.44	329.949	3603.72
0.45	329.936	3603.72
0.46	329.835	3603.72
0.47	329.777	3603.72
0.48	329.734	3603.72
0.49	329.616	3603.72
0.5	329.567	3603.72
0.51	329.485	3603.72
0.52	329.456	3603.72
0.53	329.373	3603.72
0.54	329.360	3603.72
0.55	329.262	3603.72
0.56	329.224	3603.72
0.57	329.159	3603.72
0.58	329.138	3603.72
0.59	329.122	3603.72
0.6	329.075	3603.72
0.61	329.037	3603.72
0.62	329.006	3603.72
0.63	328.943	3603.72
0.64	328.863	3603.72
0.65	328.880	3603.72
0.66	328.844	3603.72
0.67	328.784	3603.72
0.68	328.698	3603.72
0.69	328.666	3603.72
0.7	328.681	3603.72
0.71	328.607	3603.72
0.72	328.571	3603.72
0.73	328.560	3603.72
0.74	328.557	3603.72
0.75	328.507	3603.72
0.76	328.415	3603.72
0.77	328.428	3603.72
0.78	328.370	3603.72
0.79	328.328	3603.72
0.8	328.360	3603.72
0.81	328.282	3603.72
0.82	328.260	3603.72
0.83	328.259	3603.72
0.84	328.183	3603.72
0.85	328.175	3603.72
0.86	328.175	3603.72
0.87	328.155	3603.72
0.88	328.120	3603.72
0.89	328.097	3603.72
0.9	328.071	3603.72
0.91	328.069	3603.72
0.92	328.037	3603.72
0.93	327.990	3603.72
0.94	327.927	3603.72
0.95	327.971	3603.72
0.96	327.933	3603.72
0.97	327.859	3603.72
0.98	327.845	3603.72
0.99	327.860	3603.72
1	327.797	3603.72
1.01000	327.792	3603.72
1.02000	327.812	3603.72
1.03000	327.773	3603.72
1.04000	327.728	3603.72
1.05000	327.709	3603.72
1.06000	327.705	3603.72
1.07000	327.691	3603.72
1.08000	327.617	3603.72
1.09000	327.669	3603.72
1.10000	327.610	3603.72
1.11000	327.558	3603.72
1.12000	327.532	3603.72
1.13000	327.540	3603.72
1.14000	327.505	3603.72
1.15000	327.522	3603.72
1.16000	327.472	3603.72
1.17000	327.497	3603.72
1.18000	327.422	3603.72
1.19000	327.454	3603.72
1.20000	327.386	3603.72
1.21000	327.420	3603.72
1.22000	327.381	3603.72
1.23000	327.401	3603.72
1.24000	327.334	3603.72
1.25000	327.302	3603.72
1.26000	327.325	3603.72
1.27000	327.309	3603.72
1.28000	327.305	3603.72
1.29000	327.232	3603.72
1.30000	327.233	3603.72
1.31000	327.253	3603.72
1.32000	327.236	3603.72
1.33000	327.213	3603.72
1.34000	327.161	3603.72
1.35000	327.170	3603.72
1.36000	327.124	3603.72
1.37000	327.127	3603.72
1.38000	327.140	3603.72
1.39000	327.080	3603.72
1.40000	327.067	3603.72
1.41000	327.048	3603.72
1.42000	327.095	3603.72
1.43000	327.044	3603.72
1.44000	327.042	3603.72
1.45000	327.015	3603.72
1.46000	327.022	3603.72
1.47000	327.017	3603.72
1.48000	326.976	3603.72
1.49000	327.008	3603.72
1.50000	326.945	3603.72
1.51000	326.919	3603.72
1.52000	326.929	3603.72
1.53000	326.883	3603.72
1.54000	326.910	3603.72
1.55000	326.906	3603.72
1.56000	326.872	3603.72
1.57000	326.875	3603.72
1.58000	326.834	3603.72
1.59000	326.870	3603.72
1.60000	326.809	3603.72
1.61000	326.787	3603.72
1.62000	326.793	3603.72
1.63000	326.776	3603.72
1.64000	326.764	3603.72
1.65000	326.737	3603.72
1.66000	326.782	3603.72
1.67000	326.772	3603.72
1.68000	326.751	3603.72
