time	pressure	rate
0.2	351.519	1165.49
0.201	350.535	1165.49
0.202	349.751	1165.49
0.203	349.124	1165.49
0.204	348.677	1165.49
0.205	348.286	1165.49
0.206	347.970	1165.49
0.207	347.749	1165.49
0.208	347.503	1165.49
0.209	347.358	1165.49
0.210098	347.156	1165.49
0.21133	347.052	1165.49
0.212713	346.884	1165.49
0.214264	346.723	1165.49
0.216005	346.613	1165.49
0.217957	346.423	1165.49
0.220148	346.361	1165.49
0.222607	346.231	1165.49
0.225365	346.108	1165.49
0.22846	345.982	1165.49
0.231933	345.961	1165.49
0.23583	345.827	1165.49
0.240202	345.748	1165.49
0.245107	345.664	1165.49
0.250611	345.592	1165.49
0.256786	345.485	1165.49
0.263715	345.427	1165.49
0.27149	345.363	1165.49
0.280213	345.262	1165.49
0.29	345.238	1165.49
0.3	345.120	1165.49
0.31	345.051	1165.49
0.32	345.067	1165.49
0.33	345.004	1165.49
0.34	344.965	1165.49
0.35	344.935	1165.49
0.36	344.836	1165.49
0.37	344.839	1165.49
0.38	344.756	1165.49
0.39	344.728	1165.49
0.4	344.722	1165.49
0.41	344.680	1165.49
0.42	344.686	1165.49
0.43	344.666	1165.49
0.44	344.650	1165.49
0.45	344.617	1165.49
0.46	344.539	1165.49
0.47	344.580	1165.49
0.48	344.558	1165.49
0.49	344.527	1165.49
0.5	344.499	1165.49
0.51	344.436	1165.49
0.52	344.483	1165.49
0.53	344.447	1165.49
0.54	344.445	1165.49
0.55	344.421	1165.49
0.56	344.347	1165.49
0.57	344.348	1165.49
0.58	344.369	1165.49
0.59	344.365	1165.49
0.6	344.298	1165.49
0.61	344.316	1165.49
0.62	344.282	1165.49
0.63	344.251	1165.49
0.64	344.274	1165.49
0.65	344.262	1165.49
0.66	344.238	1165.49
0.67	344.236	1165.49
0.68	344.213	1165.49
0.69	344.194	1165.49
0.7	344.226	1165.49
0.71	344.198	1165.49
0.72	344.203	1165.49
0.73	344.165	1165.49
0.74	344.125	1165.49
0.75	344.172	1165.49
0.76	344.166	1165.49
0.77	344.112	1165.49
0.78	344.070	1165.49
0.79	344.090	1165.49
0.8	344.050	1165.49
0.81	344.097	1165.49
0.82	344.040	1165.49
0.83	344.054	1165.49
0.84	344.036	1165.49
0.85	344.010	1165.49
0.86	344.053	1165.49
0.87	343.998	1165.49
0.88	344.057	1165.49
0.89	343.982	1165.49
0.9	343.963	1165.49
0.91	343.998	1165.49
0.92	343.983	1165.49
0.93	344.007	1165.49
0.94	343.978	1165.49
0.95	343.996	1165.49
0.96	343.916	1165.49
0.97	343.937	1165.49
0.98	343.948	1165.49
0.99	343.953	1165.49
1	343.956	1165.49
1.01000	343.955	1165.49
1.02000	343.902	1165.49
1.03000	343.928	1165.49
1.04000	343.933	1165.49
1.05000	343.875	1165.49
1.06000	343.875	1165.49
1.07000	343.881	1165.49
1.08000	343.884	1165.49
1.09000	343.883	1165.49
1.10000	343.835	1165.49
1.11000	343.832	1165.49
1.12000	343.860	1165.49
1.13000	343.835	1165.49
1.14000	343.818	1165.49
1.15000	343.853	1165.49
1.16000	343.852	1165.49
1.17000	343.820	1165.49
1.18000	343.812	1165.49
1.19000	343.800	1165.49
1.20000	343.763	1165.49
1.21000	343.762	1165.49
1.22000	343.818	1165.49
1.23000	343.771	1165.49
